,Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
254,5124-1,2013-06-11,Jim Kriz,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Home Office,Mihael Khan,High,Smiths Colored Interoffice Envelopes,Technology,Small Box,Regular Air,2013-06-13,19.83,30.98,11.15,48,1518.02,0.04,136.62,1381.4,19.51,1400.91
255,5124-1,2013-06-06,Trudy Schmidt,"333-339 Enmore Rd,Marrickville",Sydney,NSW,Corporate,Preston Senome,Not Specified,Apex Elite Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,2013-06-08,3.42,8.34,4.92,11,250.2,0.01,5.0,245.2,2.64,247.84
256,5124-1,2013-07-30,Corinna Mitchell,"27 Greenfield Parade,Bankstown",Sydney,NSW,Consumer,Nicholas Fernandes,High,Emerson Stylus 1520 Color Inkjet Printer,Office Supplies,Small Box,Regular Air,2013-07-31,315.61,500.97,185.36,46,2879.76,0.04,57.6,2822.16,69.3,2836.16
257,5125-1,2013-06-10,Jim Kriz,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Home Office,Mihael Khan,High,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2013-06-11,1.94,3.08,1.14,23,156.0,0.01,12.48,143.52,0.99,144.82
258,5125-1,2014-06-10,Clay Ludtke,"7 Khartoum Rd,Macquarie Park",Sydney,NSW,Small Business,Preston Senome,Not Specified,Steady Pocket Accent Highlighters,Office Supplies,Small Box,Express Air,2014-06-12,0.93,1.6,0.67,8,78.6,0.07,7.28,74.54,1.29,76.45
259,5125-1,2015-05-20,Allen Armold,"224A Gertrude St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,High,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Regular Air,2015-05-22,54.29,90.48,36.19,2,2754.32,0.04,333.87,2368.09,19.99,2389.44
260,5125-1,2013-09-15,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Home Office,Connor Betts,Medium,EcoTones Memo Sheets,Technology,Small Box,Regular Air,2013-09-16,2.52,4.0,1.48,24,249.9,0.08,2.49,247.01,1.3,245.31
261,5125-1,2014-11-19,Jam Mailer,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,High,Artisan 474 Labels,Office Supplies,Wrap Bag,Express Air,2014-11-21,1.84,2.88,1.04,14,56.4,0.08,2.55,53.25,0.99,54.72
262,5126-1,2014-03-13,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Small Box,Regular Air,2014-03-13,16.8,40.97,24.17,1,1825.82,0.0,72.23,1848.07,8.99,1833.74
263,5126-1,2015-08-03,Dave Hallsten,"1 John St,Waterloo",Sydney,NSW,Corporate,Charlie Bui,Not Specified,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,Express Air,2015-08-08,4.46,10.89,6.43,39,117.04,0.03,4.68,112.36,4.5,113.95
264,5126-1,2015-10-09,Janet Lee,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Consumer,Tina Carlton,Critical,Xit Blank Computer Paper,Office Supplies,Small Box,Regular Air,2015-10-11,12.39,19.98,7.59,8,739.92,0.05,50.79,673.27,5.77,676.88
265,5128-1,2013-06-10,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Corporate,Mihael Khan,Not Specified,EcoTones Memo Sheets,Office Supplies,Small Box,Regular Air,2013-06-12,2.52,4.0,1.48,46,156.0,0.01,12.48,143.52,1.3,144.82
266,5128-1,2013-06-10,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Corporate,Mihael Khan,Critical,EcoTones Memo Sheets,Technology,Small Box,Regular Air,2013-06-12,2.52,4.0,1.48,44,156.0,0.03,12.48,143.52,1.3,144.82
267,5128-1,2013-03-27,Echa Smith,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Low,Artisan Hole Reinforcements,Technology,Jumbo Drum,Delivery Truck,2013-03-27,3.99,6.23,2.24,42,136.02,0.0,8.16,123.88,6.97,124.57
268,5128-1,2013-06-10,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Corporate,Mihael Khan,Medium,EcoTones Memo Sheets,Office Supplies,Small Pack,Regular Air,2013-06-12,2.52,4.0,1.48,8,156.0,0.03,12.48,143.52,1.3,144.82
269,5128-1,2013-06-14,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,EcoTones Memo Sheets,Office Supplies,Small Box,Regular Air,2013-06-15,2.52,4.0,1.48,33,156.0,0.08,12.48,143.52,1.3,144.82
270,5128-1,2013-06-14,Paul Lucas,"8 Quay Street,Haymarket",Sydney,NSW,Consumer,Leighton Forrest,Not Specified,EcoTones Memo Sheets,Office Supplies,Small Box,Regular Air,2013-06-25,2.52,4.0,1.48,33,156.0,0.05,12.48,143.52,1.3,144.82
271,5128-1,2013-06-10,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Corporate,Mihael Khan,Low,EcoTones Memo Sheets,Office Supplies,Small Box,Regular Air,2013-06-12,2.52,4.0,1.48,22,156.0,0.04,12.48,143.52,1.3,144.82
272,5128-1,2013-06-10,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Small Business,Mihael Khan,Low,EcoTones Memo Sheets,Office Supplies,Wrap Bag,Regular Air,2013-06-12,2.52,4.0,1.48,8,156.0,0.06,12.48,143.52,1.3,144.82
273,5129-1,2013-03-07,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Home Office,Yvette Biti,Low,Beekin 105-Key Black Keyboard,Furniture,Small Pack,Regular Air,2013-03-10,6.39,19.98,13.59,46,136.92,0.03,8.32,123.74,4.0,122.04
274,5129-1,2013-05-13,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Smiths Colored Interoffice Envelopes,Office Supplies,Small Box,Regular Air,2013-05-14,19.83,30.98,11.15,8,1518.52,0.0,151.46,1381.4,19.51,1400.91
275,5130-1,2013-05-22,Thais Sissman,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,2013-05-23,2.5,5.68,3.18,18,332.84,0.04,1.06,232.59,3.6,239.54
276,5130-1,2013-05-31,Joy Smith,"221 Barkly St,St Kilda",Melbourne,VIC,Home Office,Yvette Biti,Critical,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,2013-06-04,54.29,90.48,36.19,10,1504.55,0.09,106.62,1393.59,19.99,1406.69
277,5131-1,2014-06-09,Barry Lonsdale,"7 Khartoum Rd,Macquarie Park",Sydney,NSW,Home Office,Preston Senome,Medium,Beekin 105-Key Black Keyboard,Technology,Small Box,Regular Air,2014-06-09,6.39,19.98,13.59,27,119.36,0.05,0.54,110.65,4.0,112.36
278,5132-1,2014-07-30,Keith Herrera,"120 Hardware St,Melbourne",Melbourne,VIC,Consumer,Yvette Biti,Medium,PastelOcean Color Pencil Set,Technology,Small Box,Regular Air,2014-07-31,11.11,19.84,8.73,12,340.62,0.0,2.65,335.67,4.1,345.35
279,5132-1,2015-07-18,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,VIC,Small Business,Yvette Biti,High,Self-Adhesive Ring Binder Labels,Technology,Small Box,Regular Air,2015-07-20,2.18,3.52,1.34,48,105.6,0.02,10.35,99.07,6.83,90.69
280,5132-1,2014-02-18,Grant Thornton,"1 John Street,Waterloo",Sydney,NSW,Corporate,Charlie Bui,Not Specified,Ecolon Metal Binder Clips,Office Supplies,Small Box,Regular Air,2014-02-20,1.6,2.62,1.02,1,43.74,0.06,4.67,30.81,0.8,33.24
281,5132-1,2013-05-04,Lynn Smith,"61A Bay Road,Wollstonecraft",Sydney,NSW,Corporate,Samantha Chairs,Low,Apex Box Cutter Scissors,Office Supplies,Small Box,Regular Air,2013-05-06,4.19,10.23,6.04,29,365.6,0.03,2.65,327.75,4.68,345.34
282,5132-1,2014-09-12,Gary Hansen,"273 George Street,Sydney",Sydney,NSW,Corporate,Leighton Forrest,Not Specified,Smiths File Caddy,Office Supplies,Small Box,Regular Air,2014-09-19,4.03,9.38,5.35,33,279.3,0.08,35.76,267.3,7.28,274.95
283,5132-1,2013-07-17,Pauline Webber,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,High,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2013-07-17,2.5,5.68,3.18,27,137.54,0.07,1.38,136.14,3.6,132.04
284,5133-1,2013-06-15,Scott Cohen,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,High,Cando PC940 Copier,Office Supplies,Wrap Bag,Regular Air,2013-06-17,278.99,449.99,171.0,9,128.52,0.09,9.0,119.52,49.0,120.4
285,5133-1,2013-06-15,Scott Cohen,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Wirebound Voice Message Log Book,Technology,Small Box,Regular Air,2013-06-17,2.9,4.76,1.86,1,128.52,0.0,9.0,119.52,0.88,120.4
286,5133-1,2013-06-15,Scott Cohen,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Wirebound Voice Message Log Book,Office Supplies,Wrap Bag,Regular Air,2013-06-17,2.9,4.76,1.86,17,128.52,0.09,9.0,119.52,0.88,120.4
287,5134-1,2013-06-16,Liz MacKendrick,"224A Gertrude St,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Not Specified,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Regular Air,2013-06-16,156.5,300.97,144.47,23,300.97,0.07,18.06,282.91,7.18,290.09
288,5134-1,2014-06-22,Andy Peige,"797 Botany Rd,Rosebery",Sydney,NSW,Home Office,Phoebe Gour,Medium,Artisan 419 Labels,Office Supplies,Small Box,Regular Air,2014-06-24,1.94,3.08,1.14,8,23.04,0.07,1.61,21.43,0.99,22.22
289,5134-1,2015-03-02,Thomas Thornton,"221 Barkly St,St Kilda",Melbourne,VIC,Small Business,Yvette Biti,High,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Technology,Small Box,Regular Air,2015-03-04,56.16,136.98,80.82,47,360.33,0.0,26.31,359.95,24.49,353.36
290,5135-1,2015-01-01,Michael Oakman,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Low,Apex Straight Scissors,Office Supplies,Small Box,Regular Air,2015-01-04,5.19,12.98,7.79,47,239.0,0.02,2.39,237.21,3.14,241.43
291,5135-1,2013-06-24,Paul Lucas,"8 Quay Street,Haymarket",Sydney,NSW,Consumer,Leighton Forrest,High,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,2013-06-25,4.53,7.3,2.77,50,255.25,0.07,15.45,248.21,7.72,228.42
292,5136-1,2015-02-01,Julia Dunbar,"Qantas Domestic Terminal,Mascot",Sydney,NSW,Consumer,Phoebe Gour,Medium,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Technology,Jumbo Drum,Delivery Truck,2015-02-03,16.85,27.18,10.33,5,1204.54,0.01,64.22,1196.28,8.23,1117.28
293,5136-2,2014-06-17,Edward Becker,"501 George St,Sydney",Sydney,NSW,Consumer,Samantha Chairs,Medium,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Small Box,Regular Air,2014-06-18,1.31,2.84,1.53,32,25.2,0.05,2.2,21.3,0.93,22.29
294,5137-1,2017-02-05,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Home Office,Stevie Bacata,Not Specified,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Small Pack,Regular Air,2017-02-07,16.85,27.18,10.33,36,1305.29,0.1,52.51,1205.49,8.23,1126.28
295,5138-1,2013-05-07,Grant Carroll,"10 O'Connell St,Sydney",Sydney,NSW,Corporate,Aanya Zhang,High,Smiths Metal Binder Clips,Furniture,Small Pack,Regular Air,2013-05-09,1.6,2.62,1.02,35,89.08,0.0,7.13,81.95,0.8,82.75
296,5138-1,2013-12-11,Patrick Jones,"221 Barkly St,St Kilda",Melbourne,VIC,Home Office,Yvette Biti,Medium,Smiths General Use 3-Ring Binders,Office Supplies,Wrap Bag,Regular Air,2013-12-13,1.18,1.88,0.7,34,105.64,0.03,0.0,105.64,1.49,106.94
297,5138-1,2013-07-16,George Zrebassa,"73 MacLeay St,Potts Point",Sydney,NSW,Corporate,Natasha Song,High,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,2013-07-17,1.59,2.61,1.02,25,111.2,0.09,3.34,107.86,0.5,109.2
298,5138-1,2014-12-04,Ed Braxton,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,Yvette Biti,Critical,Steady Major Accent Highlighters,Office Supplies,Small Pack,Regular Air,2014-12-05,3.75,7.08,3.33,50,265.08,0.08,15.85,228.51,2.35,226.73
299,5139-1,2014-06-29,Daniel Byrd,"127 Liverpool St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Not Specified,Apex Preferred Stainless Steel Scissors,Technology,Large Box,Regular Air,2014-06-30,2.5,5.68,3.18,29,263.9,0.0,7.6,236.19,3.6,233.85
300,5139-1,2015-08-12,Grant Carroll,"10 O'Connell St,Sydney",Sydney,NSW,Corporate,Aanya Zhang,High,Artisan 474 Labels,Office Supplies,Wrap Bag,Regular Air,2015-08-15,1.84,2.88,1.04,14,114.64,0.06,4.58,116.86,0.99,117.15
301,5139-1,2013-11-01,Kristina Nunn,"22 Civic Rd,Auburn",Sydney,NSW,Corporate,Mihael Khan,Medium,Binder Posts,Office Supplies,Small Box,Regular Air,2013-11-02,3.5,5.74,2.24,23,43.38,0.1,3.0,30.2,5.01,30.29
302,5140-1,2013-06-24,Paul Lucas,"8 Quay Street,Haymarket",Sydney,NSW,Corporate,Leighton Forrest,High,3Max Organizer Strips,Office Supplies,Wrap Bag,Regular Air,2013-06-25,3.4,5.4,2.0,9,135.0,0.03,12.15,122.85,7.78,130.63
303,5140-1,2013-08-09,Tony Sayre,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,Yvette Biti,High,Aluminum Document Frame,Office Supplies,Small Box,Regular Air,2013-08-13,5.5,12.22,6.72,3,249.76,0.0,29.97,239.33,2.85,242.85
304,5140-1,2013-06-24,Paul Lucas,"8 Quay Street,Haymarket",Sydney,NSW,Consumer,Leighton Forrest,Critical,3Max Organizer Strips,Office Supplies,Wrap Bag,Express Air,2013-06-25,3.4,5.4,2.0,39,135.0,0.07,12.15,122.85,7.78,130.63
305,5140-1,2014-07-24,Todja Jarnong,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,High,3Max Organizer Strips,Office Supplies,Wrap Bag,Regular Air,2014-07-26,3.4,5.4,2.0,8,135.0,0.02,31.35,122.85,7.78,130.63
306,5141-1,2013-06-20,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Wrap Bag,Express Air,2013-06-22,21.56,36.55,14.99,44,138.54,0.01,5.35,123.73,13.89,126.19
307,5142-1,2015-12-16,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,High,Binding Machine Supplies,Office Supplies,Wrap Bag,Regular Air,2015-12-18,18.38,29.17,10.79,25,359.64,0.06,14.39,345.25,6.27,349.23
308,5142-1,2013-06-25,Aleksandra Gannaway,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,Low,PastelOcean Color Pencil Set,Office Supplies,Wrap Bag,Express Air,2013-06-26,11.11,19.84,8.73,40,515.84,0.05,36.11,479.73,4.1,483.83
309,5142-1,2013-06-25,Neil Knudson,"4A Lyons St,Strathfield",Sydney,NSW,Small Business,Tina Carlton,High,Feluor Cordless Navigator Duo,Office Supplies,Small Box,Regular Air,2013-06-27,42.11,80.98,38.87,50,515.84,0.01,36.11,479.73,7.18,483.83
310,5142-1,2013-06-25,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,Laser DVD-RAM discs,Office Supplies,Small Pack,Regular Air,2013-06-27,20.18,35.41,15.23,37,515.84,0.08,36.11,479.73,1.99,483.83
311,5143-1,2014-07-04,Mike Gockenbach,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,High,Alto 3-Hole Punch,Office Supplies,Small Box,Regular Air,2014-07-06,2.76,4.38,1.62,26,222.74,0.08,6.68,216.06,6.21,218.18
312,5143-1,2013-05-29,Anthony Rawles,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Emerson C82 Color Inkjet Printer,Technology,Jumbo Drum,Delivery Truck,2013-05-29,76.79,119.99,43.2,24,2499.96,0.02,259.98,2455.35,14.0,2463.25
313,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Medium,Smiths Gold Paper Clips,Office Supplies,Small Box,Regular Air,2013-06-27,1.82,2.98,1.16,32,8.94,0.1,0.8,8.14,1.58,9.72
314,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Not Specified,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Express Air,2013-06-27,1.18,1.88,0.7,24,8.94,0.1,0.8,8.14,1.49,9.72
315,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Not Specified,Bagged Rubber Bands,Office Supplies,Small Box,Regular Air,2013-06-27,0.24,1.26,1.02,38,8.94,0.0,0.8,8.14,0.7,9.72
316,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Medium,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,2013-06-27,1.18,1.88,0.7,22,8.94,0.01,0.8,8.14,1.49,9.72
317,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,2013-06-27,1.18,1.88,0.7,17,8.94,0.04,0.8,8.14,1.49,9.72
318,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Medium,Smiths Gold Paper Clips,Office Supplies,Small Box,Regular Air,2013-06-27,1.82,2.98,1.16,9,8.94,0.06,0.8,8.14,1.58,9.72
319,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Low,Smiths General Use 3-Ring Binders,Office Supplies,Small Pack,Express Air,2013-06-27,1.18,1.88,0.7,26,8.94,0.04,0.8,8.14,1.49,9.72
320,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Not Specified,Smiths General Use 3-Ring Binders,Technology,Jumbo Drum,Delivery Truck,2013-06-27,1.18,1.88,0.7,24,8.94,0.02,0.8,8.14,1.49,9.72
321,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Critical,Smiths General Use 3-Ring Binders,Technology,Small Box,Regular Air,2013-06-27,1.18,1.88,0.7,42,8.94,0.07,0.8,8.14,1.49,9.72
322,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,Smiths General Use 3-Ring Binders,Technology,Small Box,Express Air,2013-06-27,1.18,1.88,0.7,23,8.94,0.07,0.8,8.14,1.49,9.72
323,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Home Office,Natasha Song,Medium,Smiths General Use 3-Ring Binders,Technology,Small Box,Express Air,2013-06-27,1.18,1.88,0.7,24,8.94,0.08,0.8,8.14,1.49,9.72
324,5144-1,2013-02-16,Tamara Dahlen,"61 York St,Sydney",Sydney,NSW,Corporate,Leighton Forrest,Not Specified,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2013-02-20,1.94,3.08,1.14,21,157.0,0.03,12.82,147.68,0.99,147.04
325,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Low,Smiths General Use 3-Ring Binders,Office Supplies,Small Pack,Regular Air,2013-06-27,1.18,1.88,0.7,50,8.94,0.08,0.8,8.14,1.49,9.72
326,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Home Office,Natasha Song,High,Smiths General Use 3-Ring Binders,Office Supplies,Wrap Bag,Regular Air,2013-06-27,1.18,1.88,0.7,26,8.94,0.07,0.8,8.14,1.49,9.72
327,5144-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Medium,Smiths General Use 3-Ring Binders,Technology,Small Box,Regular Air,2013-06-27,1.18,1.88,0.7,41,8.94,0.08,0.8,8.14,1.49,9.72
328,5145-1,2013-07-15,Mihch Gernen,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Home Office,Mihael Khan,Low,Artisan Legal 4-Ring Binder,Office Supplies,Small Box,Regular Air,2013-07-24,13.64,20.98,7.34,46,53.52,0.1,4.27,59.01,1.49,55.72
329,5145-1,2013-06-29,Cyma Kinney,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013-07-04,3.32,5.18,1.86,42,5.18,0.0,0.1,5.08,2.04,7.12
330,5145-1,2016-04-02,Hunter Glantz,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Consumer,Tina Carlton,Low,1726 Digital Answering Machine,Office Supplies,Small Box,Regular Air,2016-04-10,8.82,20.99,12.17,9,358.08,0.03,33.23,325.35,4.81,346.25
331,5145-2,2013-06-29,Cyma Kinney,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,Not Specified,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013-07-03,3.65,5.98,2.33,45,23.36,0.04,2.1,21.26,1.49,22.09
332,5146-1,2015-12-16,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Wrap Bag,Regular Air,2015-12-18,4.46,10.89,6.43,39,359.64,0.1,14.39,345.25,4.5,349.25
333,5146-1,2013-04-30,Kelly Williams,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Consumer,Yvette Biti,Not Specified,Cando S750 Color Inkjet Printer,Technology,Small Pack,Regular Air,2013-05-01,75.0,120.97,45.97,21,2499.78,0.09,244.97,2259.75,26.3,2249.54
334,5148-1,2014-09-12,Gary Hansen,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Not Specified,12 Colored Short Pencils,Furniture,Large Box,Regular Air,2014-09-19,1.09,2.6,1.51,7,197.8,0.02,5.96,199.14,2.4,100.09
335,5148-1,2013-06-29,Eugene Hildebrand,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Medium,Economy Binders,Office Supplies,Small Box,Regular Air,2013-07-01,1.33,2.08,0.75,25,91.52,0.04,3.66,87.86,1.49,89.35
336,5148-1,2013-07-30,Enda Mitchell,"Cnr Williams Road & Lechlade Ave,South Yarra",Melbourne,VIC,Small Business,Yvette Biti,Not Specified,TechSavi Cordless Elite Duo,Office Supplies,Small Pack,Regular Air,2013-07-31,60.59,100.98,40.39,44,2879.76,0.07,57.6,2832.76,7.18,2857.25
337,5148-1,2013-07-16,George Zrebassa,"81 MacLeay St,Potts Point",Sydney,NSW,Home Office,Samantha Chairs,High,Lesan Ultra Professional Cordless Optical Suite,Technology,Medium Box,Regular Air,2013-07-17,156.5,300.97,144.47,30,91.52,0.03,3.66,87.86,7.18,89.35
338,5148-1,2013-03-15,Michael Grace,"402 Argyle St,Moss Vale",Sydney,NSW,Corporate,Natasha Song,Medium,Binder Posts,Technology,Small Box,Regular Air,2013-03-16,3.5,5.74,2.24,39,134.04,0.05,1.47,122.83,5.01,132.05
339,5148-1,2013-02-15,Jasper Cacioppo,"24 Addison Rd,Marrickville",Sydney,NSW,Consumer,Radhya Staples,Medium,Binding Machine Supplies,Office Supplies,Small Box,Regular Air,2013-02-16,18.38,29.17,10.79,20,75.44,0.1,0.85,84.33,6.27,74.23
340,5148-1,2013-08-09,Aaron Bergman,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Artisan Flip-Chart Easel Binder, Black",Technology,Large Box,Regular Air,2013-08-16,13.88,22.38,8.5,40,230.62,0.04,23.26,232.52,15.1,247.64
341,5149-1,2014-10-09,Trudy Bell,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Beekin 105-Key Black Keyboard,Office Supplies,Small Box,Regular Air,2014-10-09,6.39,19.98,13.59,21,378.5,0.0,30.28,347.25,4.0,353.25
342,5149-1,2013-11-18,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Wrap Bag,Express Air,2013-11-20,4.53,7.3,2.77,41,304.96,0.02,6.1,295.6,7.72,244.35
343,5150-1,2013-06-29,Adam Berlavance,"106 Ebley Street,Bondi Junction",Sydney,NSW,Small Business,Leighton Forrest,Not Specified,HFX 6S Scientific Calcul Plament Drawer Pagem-Pafer Pockets,Office Supplies,Small Box,Regular Air,2013-07-01,2.26,3.58,1.32,18,636.51,0.1,44.56,591.95,5.47,601.39
344,5150-1,2013-05-04,Lynn Smith,"61A Bay Road,Wollstonecraft",Sydney,NSW,Small Business,Samantha Chairs,Medium,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,2013-05-06,4.53,7.3,2.77,39,243.98,0.03,2.19,243.32,7.72,243.82
345,5150-1,2013-08-24,Skye Norling,"48 Albion St,Surry Hills",Sydney,NSW,Consumer,Natasha Song,Not Specified,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Technology,Small Box,Regular Air,2013-08-27,2.39,4.26,1.87,39,135.0,0.09,12.15,122.85,1.2,130.63
346,5152-1,2013-08-24,Toby Gondweld,"523 King St,Newtown",Sydney,NSW,Home Office,Aanya Zhang,Not Specified,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2013-08-28,1.94,3.08,1.14,10,156.0,0.1,13.28,142.58,0.99,133.04
347,5152-1,2013-02-15,Jasper Cacioppo,"24 Addison Rd,Marrickville",Sydney,NSW,Small Business,Radhya Staples,Not Specified,Smiths Metal Binder Clips,Office Supplies,Small Pack,Express Air,2013-02-16,1.6,2.62,1.02,34,69.3,0.0,12.88,68.96,0.8,63.95
348,5152-1,2014-08-11,Tonja Turnell,"222 Barkly St,St Kilda",Melbourne,VIC,Consumer,Yvette Biti,Critical,12 Colored Short Pencils,Technology,Small Box,Express Air,2014-08-13,1.09,2.6,1.51,50,49.76,0.05,3.96,49.24,2.4,40.01
